year,factor,days,period_start,period_end,is_partial_year,period_return,annual_ret,annual_vol,sharpe,max_drawdown
2008,beta,103,2008-08-01,2008-12-31,True,4.54,4.54,23.77,0.57,-17.54
2008,dividend_yield,224,2008-02-01,2008-12-31,True,13.8,13.8,6.74,2.19,-4.78
2008,earnings_yield,224,2008-02-01,2008-12-31,True,-2.86,-2.86,10.32,-0.26,-10.85
2008,growth,166,2008-05-05,2008-12-31,True,-1.37,-1.37,7.34,-0.25,-7.62
2008,leverage,166,2008-05-05,2008-12-31,True,11.4,11.4,8.11,2.06,-4.41
2008,liquidity,224,2008-02-01,2008-12-31,True,25.2,25.2,13.07,2.0,-6.79
2008,lowvol,224,2008-02-01,2008-12-31,True,8.41,8.41,19.14,0.57,-9.17
2008,momentum,208,2008-03-03,2008-12-31,True,-26.67,-26.67,12.97,-2.83,-31.53
2008,ps_value,224,2008-02-01,2008-12-31,True,9.38,9.38,8.8,1.19,-5.48
2008,quality,166,2008-05-05,2008-12-31,True,1.93,1.93,8.78,0.37,-7.94
2008,size,224,2008-02-01,2008-12-31,True,-20.46,-20.46,14.21,-1.74,-23.37
2008,value,224,2008-02-01,2008-12-31,True,22.7,22.7,11.54,2.05,-7.02
2009,beta,244,2009-01-05,2009-12-31,False,-18.63,-18.63,14.03,-1.45,-17.68
2009,dividend_yield,244,2009-01-05,2009-12-31,False,4.94,4.94,5.55,0.92,-4.16
2009,earnings_yield,244,2009-01-05,2009-12-31,False,8.87,8.87,7.23,1.25,-6.22
2009,growth,244,2009-01-05,2009-12-31,False,-3.42,-3.42,5.69,-0.6,-14.42
2009,leverage,244,2009-01-05,2009-12-31,False,-6.95,-6.95,6.86,-1.05,-11.73
2009,liquidity,244,2009-01-05,2009-12-31,False,34.84,34.84,8.67,3.61,-2.97
2009,lowvol,244,2009-01-05,2009-12-31,False,4.38,4.38,10.34,0.48,-7.05
2009,momentum,244,2009-01-05,2009-12-31,False,-22.18,-22.18,8.14,-3.14,-21.53
2009,ps_value,244,2009-01-05,2009-12-31,False,22.88,22.88,6.84,3.15,-4.79
2009,quality,244,2009-01-05,2009-12-31,False,-11.6,-11.6,6.73,-1.86,-14.79
2009,size,244,2009-01-05,2009-12-31,False,-31.99,-31.99,9.7,-4.05,-31.89
2009,value,244,2009-01-05,2009-12-31,False,32.68,32.68,8.18,3.61,-2.86
2010,beta,242,2010-01-04,2010-12-31,False,-6.26,-6.26,9.81,-0.64,-11.33
2010,dividend_yield,242,2010-01-04,2010-12-31,False,-3.54,-3.54,6.61,-0.54,-7.1
