ts_code,name,market,publisher,category,base_date,list_date,discovery_market
000001.SH,上证指数,SSE,中证指数有限公司、上海证券交易所,综合指数,19901219,19910715,SSE
000002.SH,A股指数,SSE,中证指数有限公司、上海证券交易所,规模指数,19901219,19920221,SSE
000003.SH,B股指数,SSE,中证指数有限公司、上海证券交易所,规模指数,19920221,19920817,SSE
000004.SH,工业指数,SSE,中证指数有限公司、上海证券交易所,行业指数,19930430,19930503,SSE
000005.SH,商业指数,SSE,中证指数有限公司、上海证券交易所,行业指数,19930430,19930503,SSE
000006.SH,地产指数,SSE,中证指数有限公司、上海证券交易所,行业指数,19930430,19930503,SSE
000007.SH,公用指数,SSE,中证指数有限公司、上海证券交易所,行业指数,19930430,19930503,SSE
000008.SH,综合指数,SSE,中证指数有限公司、上海证券交易所,行业指数,19930430,19930503,SSE
000009.SH,上证380,SSE,中证指数有限公司、上海证券交易所,规模指数,20031231,20101129,SSE
000010.SH,上证180,SSE,中证指数有限公司、上海证券交易所,规模指数,20020628,20020701,SSE
000011.SH,基金指数,SSE,中证指数有限公司、上海证券交易所,基金指数,20000508,20000609,SSE
000012.SH,国债指数,SSE,中证指数有限公司、上海证券交易所,债券指数,20021231,20030102,SSE
000015.SH,红利指数,SSE,中证指数有限公司、上海证券交易所,策略指数,20041231,20050104,SSE
000016.SH,上证50,SSE,中证指数有限公司、上海证券交易所,规模指数,20031231,20040102,SSE
000017.SH,新综指,SSE,中证指数有限公司、上海证券交易所,综合指数,20051230,20060104,SSE
000018.SH,180金融,SSE,中证指数有限公司、上海证券交易所,行业指数,20020628,20071210,SSE
000019.SH,治理指数,SSE,中证指数有限公司、上海证券交易所,主题指数,20070629,20080102,SSE
000020.SH,中型综指,SSE,中证指数有限公司、上海证券交易所,规模指数,20071228,20080512,SSE
000021.SH,180治理,SSE,中证指数有限公司、上海证券交易所,主题指数,20070629,20080910,SSE
000022.SH,沪公司债,SSE,中证指数有限公司、上海证券交易所,债券指数,20071231,20081119,SSE
000023.SH,沪分离债,SSE,中证指数有限公司、上海证券交易所,债券指数,20071231,20081119,SSE
000025.SH,180基建,SSE,中证指数有限公司、上海证券交易所,主题指数,20020628,20081215,SSE
000026.SH,180资源,SSE,中证指数有限公司、上海证券交易所,主题指数,20020628,20081215,SSE
000027.SH,180运输,SSE,中证指数有限公司、上海证券交易所,主题指数,20020628,20081215,SSE
000028.SH,180成长,SSE,中证指数有限公司、上海证券交易所,风格指数,20020628,20090109,SSE
000029.SH,180价值,SSE,中证指数有限公司、上海证券交易所,风格指数,20020628,20090109,SSE
000030.SH,180R成长,SSE,中证指数有限公司、上海证券交易所,风格指数,20020628,20090109,SSE
000031.SH,180R价值,SSE,中证指数有限公司、上海证券交易所,风格指数,20020628,20090109,SSE
000032.SH,上证能源,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20090109,SSE
000033.SH,上证材料,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20090109,SSE
000034.SH,上证工业,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20090109,SSE
000035.SH,上证可选,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20090109,SSE
000036.SH,上证消费,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20090109,SSE
000037.SH,上证医药,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20090109,SSE
000038.SH,上证金融,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20090109,SSE
000039.SH,上证信息,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20090109,SSE
000040.SH,上证通信,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20090109,SSE
000041.SH,上证公用,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20090109,SSE
000042.SH,上证央企,SSE,中证指数有限公司、上海证券交易所,主题指数,20081231,20090330,SSE
000043.SH,超大盘,SSE,中证指数有限公司、上海证券交易所,规模指数,20031231,20090423,SSE
000044.SH,上证中盘,SSE,中证指数有限公司、上海证券交易所,规模指数,20031231,20090703,SSE
000045.SH,上证小盘,SSE,中证指数有限公司、上海证券交易所,规模指数,20031231,20090703,SSE
000046.SH,上证中小,SSE,中证指数有限公司、上海证券交易所,规模指数,20031231,20090703,SSE
000047.SH,上证全指,SSE,中证指数有限公司、上海证券交易所,规模指数,20031231,20090703,SSE
000048.SH,责任指数,SSE,中证指数有限公司、上海证券交易所,主题指数,20090630,20090805,SSE
000049.SH,上证民企,SSE,中证指数有限公司、上海证券交易所,主题指数,20090630,20090825,SSE
000050.SH,50等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20110104,SSE
000051.SH,180等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20020628,20110524,SSE
000052.SH,50基本,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20120109,SSE
000053.SH,180基本,SSE,中证指数有限公司、上海证券交易所,策略指数,20020628,20120109,SSE
000054.SH,上证海外,SSE,中证指数有限公司、上海证券交易所,主题指数,20061229,20100104,SSE
