ts_code,name,benchmark,list_date,index_ts_code,matched_index_name
512810.SH,华宝中证军工ETF,中证军工指数×100%,20160822.0,399967.SZ,中证军工指数
510810.SH,汇添富中证上海国企ETF,中证上海国企指数×100%,20160829.0,950096.CSI,中证上海国企指数
512660.SH,国泰中证军工ETF,中证军工指数×100%,20160808.0,399967.SZ,中证军工指数
512880.SH,国泰中证全指证券公司ETF,中证全指证券公司指数×100%,20160808.0,399975.SZ,中证全指证券公司指数
159949.SZ,华安创业板50ETF,创业板50指数×100%,20160722.0,399673.SZ,创业板50指数
159948.SZ,南方创业板ETF,创业板指数×100%,20160531.0,399006.SZ,创业板指数
510580.SH,易方达中证500ETF,中证小盘500指数×100%,20150914.0,000905.SH,中证小盘500指数
510360.SH,广发沪深300ETF,沪深300指数×100%,20150909.0,000300.SH,沪深300指数
512330.SH,南方中证500信息技术指数ETF,中证500信息技术指数×100%,20150720.0,H30257.CSI,中证500信息技术指数
159944.SZ,广发中证全指原材料ETF,中证全指原材料指数×100%,20150706.0,000987.SH,中证全指原材料指数
159945.SZ,广发中证全指能源ETF,中证全指能源指数×100%,20150706.0,000986.SH,中证全指能源指数
159941.SZ,广发纳斯达克100ETF(QDII),纳斯达克100指数×100%,20150713.0,NDX.NASDAQ,纳斯达克100指数
512510.SH,华泰柏瑞中证500ETF,中证小盘500指数×100%,20150612.0,000905.SH,中证小盘500指数
512500.SH,华夏中证500ETF,中证小盘500指数×100%,20150529.0,000905.SH,中证小盘500指数
159940.SZ,广发中证全指金融地产ETF,中证全指金融地产指数×100%,20150417.0,000992.SH,中证全指金融地产指数
159939.SZ,广发中证全指信息技术ETF,中证全指信息技术指数×100%,20150205.0,000993.SH,中证全指信息技术指数
513600.SH,南方恒生ETF(QDII),香港恒生指数×100%,20150126.0,HSI.HI,恒生指数
513660.SH,华夏沪港通恒生ETF,香港恒生指数×100%,20150126.0,HSI.HI,恒生指数
159938.SZ,广发中证全指医药卫生ETF,中证全指医药卫生指数×100%,20150108.0,000991.SH,中证全指医药卫生指数
513030.SH,华安国际龙头(DAX)ETF(QDII),德国法兰克福DAX指数×100%,20140905.0,GDAXI.GY,德国法兰克福DAX指数
512220.SH,景顺长城中证科技传媒通信150ETF,中证科技传媒通信150指数×100%,20140819.0,H30318.CSI,中证科技传媒通信150指数
512070.SH,易方达沪深300非银行金融ETF,沪深300非银行金融指数×100%,20140718.0,H30035.CSI,沪深300非银行金融指数
512640.SH,嘉实中证金融地产ETF,中证金融地产指数×100%,20140725.0,000934.SH,中证金融地产指数
512600.SH,嘉实中证主要消费ETF,中证主要消费指数×100%,20140725.0,000932.SH,中证主要消费指数
