ts_code,api,status,rows
000001.SH,index_daily,ok,2828
000010.SH,index_daily,ok,2828
000016.SH,index_daily,ok,2828
399001.SZ,index_daily,ok,2828
000015.SH,index_daily,ok,2828
000300.SH,index_daily,ok,2828
N225.JT,,unsupported_code_suffix,0
GDAXI.GY,,unsupported_code_suffix,0
NDX.NASDAQ,,unsupported_code_suffix,0
SPX.OTH,,unsupported_code_suffix,0
XIN9.OTH,,unsupported_code_suffix,0
000901.SH,index_daily,ok,2828
399330.SZ,index_daily,ok,2828
399324.SZ,index_daily,ok,2828
399326.SZ,index_daily,ok,2828
000903.SH,index_daily,ok,2828
000905.SH,index_daily,ok,2828
000906.SH,index_daily,ok,2828
000913.SH,index_daily,ok,2828
000914.SH,index_daily,ok,2828
000018.SH,index_daily,ok,2828
000918.CSI,index_daily,ok,2828
000919.CSI,index_daily,ok,2828
000922.CSI,index_daily,ok,2828
000021.SH,index_daily,ok,2828
399005.SZ,index_daily,ok,2828
H11014.CSI,index_daily,ok,2828
000029.SH,index_daily,ok,2828
000036.SH,index_daily,ok,2828
000037.SH,index_daily,ok,2828
000038.SH,index_daily,ok,2828
000925.CSI,index_daily,ok,2828
000042.SH,index_daily,ok,2828
000043.SH,index_daily,ok,2828
931798.CSI,index_daily,ok,2341
000928.SH,index_daily,ok,2828
000932.SH,index_daily,ok,2828
000933.SH,index_daily,ok,2828
000934.SH,index_daily,ok,2828
000936.CSI,index_daily,ok,2828
000044.SH,index_daily,ok,2828
000048.SH,index_daily,ok,2828
H11052.CSI,index_daily,ok,2828
H11054.CSI,index_daily,ok,2828
931461.CSI,index_daily,ok,2828
H11057.CSI,index_daily,ok,2828
H11059.CSI,index_daily,ok,2828
399361.SZ,index_daily,ok,2828
399362.SZ,index_daily,ok,2828
000941.CSI,index_daily,ok,2828
000948.CSI,index_daily,ok,2828
000949.CSI,index_daily,ok,2828
399007.SZ,index_daily,ok,2828
399348.SZ,index_daily,ok,2828
399365.SZ,index_daily,ok,2828
CSPSADRP.OTH,,unsupported_code_suffix,0
000056.SH,index_daily,ok,2828
399372.SZ,index_daily,ok,2828
399373.SZ,index_daily,ok,2828
000066.SH,index_daily,ok,2828
000069.SH,index_daily,ok,2828
000068.SH,index_daily,ok,2828
H11146.CSI,index_daily,ok,2864
399006.SZ,index_daily,ok,2828
399701.SZ,index_daily,ok,2828
399702.SZ,index_daily,ok,2828
H11153.CSI,index_daily,ok,2864
399102.SZ,index_daily,ok,2828
399378.SZ,index_daily,ok,2828
399610.SZ,index_daily,ok,2828
000009.SH,index_daily,ok,2828
000977.CSI,index_daily,ok,2828
000982.SH,index_daily,ok,2828
000986.SH,index_daily,ok,2828
000987.SH,index_daily,ok,2828
000989.SH,index_daily,ok,2828
000991.SH,index_daily,ok,2828
000992.SH,index_daily,ok,2828
000993.SH,index_daily,ok,2828
000995.CSI,index_daily,ok,2828
399624.SZ,index_daily,ok,2828
SPSIOP.OTH,,unsupported_code_suffix,0
399389.SZ,index_daily,ok,2828
000806.CSI,index_daily,ok,2828
000807.CSI,index_daily,ok,2828
000811.CSI,index_daily,ok,2828
000812.CSI,index_daily,ok,2828
000813.CSI,index_daily,ok,2828
000814.SH,index_daily,ok,2828
000815.CSI,index_daily,ok,2828
000819.SH,index_daily,ok,2828
H00945.CSI,index_daily,ok,2828
399550.SZ,index_daily,ok,2828
931250.CSI,index_daily,ok,2205
000821.CSI,index_daily,ok,2828
000824.CSI,index_daily,ok,2828
000825.CSI,index_daily,ok,2828
000151.SH,index_daily,ok,2828
H00140.CSI,index_daily,ok,2828
000827.SH,index_daily,ok,2828
399395.SZ,index_daily,ok,2828
399396.SZ,index_daily,ok,2828
H30007.CSI,index_daily,ok,2585
H30015.CSI,index_daily,ok,2828
H30022.CSI,index_daily,ok,2828
399965.SZ,index_daily,ok,2828
931247.CSI,index_daily,ok,2097
931743.CSI,index_daily,ok,1854
931271.CSI,index_daily,ok,1854
931897.CSI,index_daily,ok,2222
399966.SZ,index_daily,ok,2828
H30035.CSI,index_daily,ok,2828
980092.SZ,index_daily,ok,2828
980080.CNI,index_daily,ok,2828
980076.SZ,index_daily,ok,2828
980081.CNI,index_daily,ok,2828
399012.SZ,index_daily,ok,2828
399667.SZ,index_daily,ok,2828
H11077.CSI,index_daily,ok,2828
H30106.CSI,index_daily,ok,2864
931574.CSI,index_daily,ok,2945
931775.CSI,index_daily,ok,2828
931009.CSI,index_daily,ok,2828
H30171.CSI,index_daily,ok,2828
H30178.CSI,index_daily,ok,2828
H30182.CSI,index_daily,ok,2828
H30184.CSI,index_daily,ok,2828
931160.CSI,index_daily,ok,2828
932217.CSI,index_daily,ok,2828
931719.CSI,index_daily,ok,2828
931892.CSI,index_daily,ok,2828
H30192.CSI,index_daily,ok,2828
931230.CSI,index_daily,ok,2341
H30198.CSI,index_daily,ok,2828
H30199.CSI,index_daily,ok,2828
H30202.CSI,index_daily,ok,2828
931008.CSI,index_daily,ok,2828
931992.CSI,index_daily,ok,2097
H30217.CSI,index_daily,ok,2828
NBI.NASDAQ,,unsupported_code_suffix,0
H30257.CSI,index_daily,ok,2828
H11098.CSI,index_daily,ok,2828
399967.SZ,index_daily,ok,2828
H30269.CSI,index_daily,ok,2828
H30270.CSI,index_daily,ok,2828
H30318.CSI,index_daily,ok,2828
399971.SZ,index_daily,ok,2828
399973.SZ,index_daily,ok,2828
399303.SZ,index_daily,ok,2828
931573.CSI,index_daily,ok,2945
931573CNY00.CSI,index_daily,ok,2945
H30352.CSI,index_daily,ok,2828
H30356.CSI,index_daily,ok,2828
399673.SZ,index_daily,ok,2828
H30366.CSI,index_daily,ok,2828
H30365.CSI,index_daily,ok,2828
399974.SZ,index_daily,ok,2828
000852.SH,index_daily,ok,2828
H30455.CSI,index_daily,ok,2979
H30463.CSI,index_daily,ok,2979
CES100.OTH,,unsupported_code_suffix,0
H30533.CSI,index_daily,ok,3024
399433.SZ,index_daily,ok,2828
399437.SZ,index_daily,ok,2828
399438.SZ,index_daily,ok,2828
399439.SZ,index_daily,ok,2828
H30590.CSI,index_daily,ok,2828
399441.SZ,index_daily,ok,2828
H30597.CSI,index_daily,ok,2828
H50069.CSI,index_daily,ok,2865
930598.CSI,index_daily,ok,2828
930601.CSI,index_daily,ok,2828
931663.CSI,index_daily,ok,2989
980027.SZ,index_daily,ok,2828
CN5075.CNI,index_daily,ok,2828
980015.SZ,index_daily,ok,2828
980028.SZ,index_daily,ok,2828
CN5082.CNI,index_daily,ok,2828
980017.SZ,index_daily,ok,2828
