ts_code,name,benchmark,invest_type,fund_type,list_date,delist_date,status,market,matched_index_name,index_ts_code,p0,p1,etf_max_drawdown,median_amount_60d,ts_code_index,index_p0,index_p1,index_max_drawdown,etf_total_return,etf_cagr,index_price_return,index_cagr,liquid_10m
510170.SH,国联安上证大宗商品股票ETF,上证大宗商品股票指数×100%,被动指数型,股票型,20110125.0,,L,E,上证大宗商品股票指数,000066.SH,1.717,5.6962048,-0.3678665496049166,19287.658499999998,000066.SH,1672.4287,3896.4272,-0.3961158640216883,2.3175333721607454,0.12740908462025202,1.3298016830254111,0.08825806775725153,True
510410.SH,博时上证自然资源ETF,上证自然资源指数×100%,被动指数型,股票型,20120511.0,,L,E,上证自然资源指数,000068.SH,0.668,1.99,-0.41149943630214203,20031.3825,000068.SH,1907.6529,4325.8797,-0.43173091581865075,1.9790419161676644,0.11534098512807978,1.2676450731681852,0.08531925508682359,True
512220.SH,景顺长城中证科技传媒通信150ETF,中证科技传媒通信150指数×100%,被动指数型,股票型,20140819.0,,L,E,中证科技传媒通信150指数,H30318.CSI,1.464,3.869,-0.4468610973801286,38336.7995,H30318.CSI,1965.1324,4167.578,-0.5387825283617187,1.6427595628415301,0.10206133383325788,1.1207619395008703,0.07807553860992367,True
159930.SZ,汇添富中证能源ETF,中证能源指数×100%,被动指数型,股票型,20130916.0,,L,E,中证能源指数,000928.SH,0.79,1.76,-0.4233954451345755,112686.02995,000928.SH,1967.9993,3475.6974,-0.4527112479332668,1.2278481012658227,0.08339931747495521,0.7661070306275009,0.05852641950125248,True
512330.SH,南方中证500信息技术指数ETF,中证500信息技术指数×100%,被动指数型,股票型,20150720.0,,L,E,中证500信息技术指数,H30257.CSI,0.865,1.876,-0.559593023255814,16084.384999999998,H30257.CSI,7674.0766,13344.0016,-0.5903984347217343,1.16878612716763,0.08049229098266553,0.7388413349952747,0.05688076899772154,True
510630.SH,华夏上证主要消费ETF,上证主要消费行业指数×100%,被动指数型,股票型,20130508.0,,L,E,上证主要消费行业指数,000036.SH,1.558,3.1948219000000004,-0.5694237373737374,45211.9355,000036.SH,6102.3792,9247.6047,-0.6227907281210774,1.0505917201540438,0.07445422990458095,0.5154097110189415,0.04244465429016753,True
510880.SH,华泰柏瑞上证红利ETF,上海证券交易所上证红利指数×100%,被动指数型,股票型,20070118.0,,L,E,上证红利指数,000015.SH,3.0955785000000002,6.1426632,-0.2340296699969725,777876.8595,000015.SH,2524.0027,3300.4629,-0.29501297463585685,0.9843344951517139,0.0709309951593704,0.30763049500699813,0.02718461033964581,True
159939.SZ,广发中证全指信息技术ETF,中证全指信息技术指数×100%,被动指数型,股票型,20150205.0,,L,E,中证全指信息技术指数,000993.SH,1.174,2.216,-0.5319402985074626,52181.5542,000993.SH,6461.4416,10443.5359,-0.5476175967206054,0.8875638841567295,0.06559007285688812,0.6162857372261943,0.0491843745856797,True
159901.SZ,易方达深证100ETF,深证100指数(价格)×100%,被动指数型,股票型,20060424.0,,L,E,深证100指数,399330.SZ,4.2227779000000005,7.7500287,-0.5284223523913523,407295.75285000005,399330.SZ,3787.864,6136.2575,-0.5481829151597477,0.8352915742975728,0.0626017017140128,0.6199783043953002,0.049423825229045315,True
159928.SZ,汇添富中证主要消费ETF,中证主要消费指数×100%,被动指数型,股票型,20130916.0,,L,E,中证主要消费指数,000932.SH,1.454,2.636,-0.5996680497925311,335300.89555,000932.SH,8041.3104,12376.7789,-0.639673084375879,0.8129298486932601,0.06129984289285795,0.539149502300023,0.04406630633979702,True
159949.SZ,华安创业板50ETF,创业板50指数×100%,被动指数型,股票型,20160722.0,,L,E,创业板50指数,399673.SZ,0.943,1.676,-0.5899053627760252,2408944.46465,399673.SZ,2024.263,3728.4769,-0.5947779509460072,0.7773064687168612,0.059195756472253835,0.8418935187769574,0.06298332539917428,True
159915.SZ,易方达创业板ETF,创业板指数P×100%,被动指数型,股票型,20111209.0,,L,E,创业板指数,399006.SZ,2.081,3.56,-0.5658465991316932,6443425.13765,399006.SZ,2170.857,3545.5775,-0.5704597874670019,0.7107160019221528,0.055158718560101905,0.6332616565715752,0.05028116359380297,True
510660.SH,华夏上证医药卫生ETF,上证医药卫生行业指数×100%,被动指数型,股票型,20130508.0,,L,E,上证医药卫生行业指数,000037.SH,1.526,2.559,-0.549899193548387,15264.04,000037.SH,6038.1518,6592.2928,-0.5848879148089081,0.6769331585845348,0.05305626253454432,0.09177328069161828,0.008818983844309125,True
510300.SH,华泰柏瑞沪深300ETF,沪深300指数×100%,被动指数型,股票型,20120528.0,,L,E,沪深300指数,000300.SH,3.5842256,5.930027999999999,-0.42155347080635797,4529753.9895,000300.SH,3314.1142,4618.8952,-0.4560262048486471,0.6544795617775843,0.05163768544016856,0.3937042966111428,0.0337536688330049,True
510150.SH,招商上证消费80ETF,上证消费80指数×100%,被动指数型,股票型,20110225.0,,L,E,上证消费80指数,000069.SH,3.8,6.0456672,-0.5407897821712886,35027.4755,000069.SH,3642.8211,4332.6175,-0.5828722030443403,0.5909650526315788,0.04752902194583153,0.1893577480376405,0.01749257945566174,True
510230.SH,国泰上证180金融ETF,上证180金融股指数×100%,被动指数型,股票型,20110523.0,,L,E,上证180金融股指数,000018.SH,5.223,8.2175472,-0.3536302253205652,85574.52900000001,000018.SH,4574.1547,5327.8387,-0.3993708757045673,0.5733385410683516,0.04636262364848287,0.16477011588611123,0.015369285306569669,True
510500.SH,南方中证500ETF,中证小盘500指数×100%,被动指数型,股票型,20130315.0,,L,E,中证小盘500指数,000905.SH,1.8597905,2.6752266,-0.3947213062817094,2940989.1210000003,000905.SH,6356.9538,7854.3336,-0.4180801038538581,0.43845589059627943,0.03702602359201923,0.2355498949827195,0.02137689392204667,True
159902.SZ,华夏中小企业100ETF,中小企业100指数×100%,被动指数型,股票型,20060905.0,,L,E,中小企业100指数,399005.SZ,3.4622616,4.8287232,-0.5305129165106701,12617.69175,399005.SZ,6872.163,8605.4918,-0.545032166600635,0.3946731234866827,0.033825507255539344,0.2522246343691208,0.02274702367223802,True
512070.SH,易方达沪深300非银行金融ETF,沪深300非银行金融指数×100%,被动指数型,股票型,20140718.0,,L,E,沪深300非银行金融指数,H30035.CSI,1.702,2.309104,-0.4462289199856476,576799.6285,H30035.CSI,8700.7789,9230.1261,-0.482872211552826,0.3567003525264396,0.030975616107556725,0.060839058903105814,0.005923490898358308,True
512010.SH,易方达沪深300医药卫生ETF,沪深300医药卫生指数×100%,被动指数型,股票型,20131028.0,,L,E,沪深300医药卫生指数,000913.SH,1.284,1.51514,-0.663248595505618,583095.693,000913.SH,7929.6689,8328.5783,-0.6644455167418525,0.18001557632398746,0.016690519893699296,0.05030593395898286,0.004920213432980658,True
512660.SH,国泰中证军工ETF,中证军工指数×100%,被动指数型,股票型,20160808.0,,L,E,中证军工指数,399967.SZ,1.001,1.107,-0.5094850948509485,320637.6015,399967.SZ,11155.699,11201.9267,-0.5074300778022085,0.10589410589410608,0.010116242019733601,0.004143864046529,0.00041361570413345206,True
512120.SH,华安中证细分医药ETF,中证细分医药产业主题指数×100%,被动指数型,股票型,20140106.0,,L,E,中证细分医药产业主题指数,000814.SH,1.421,1.4764580999999999,-0.6007165380374863,16989.6865,000814.SH,8503.5845,8724.0462,-0.6242982865313177,0.039027515833919724,0.003835857618788019,0.025925737552205064,0.002562814767212984,True
159938.SZ,广发中证全指医药卫生ETF,中证全指医药卫生指数×100%,被动指数型,股票型,20150108.0,,L,E,中证全指医药卫生指数,000991.SH,1.306,1.326,-0.5601694915254236,53809.9011,000991.SH,9932.7337,8785.7728,-0.5779145984348282,0.015313935681470214,0.0015209415511008295,-0.1154728330227961,-0.012195233122095694,True
512880.SH,国泰中证全指证券公司ETF,中证全指证券公司指数×100%,被动指数型,股票型,20160808.0,,L,E,中证全指证券公司指数,399975.SZ,1.051,1.063,-0.45446584938704027,2427166.8725,399975.SZ,882.8529,739.5515,-0.5052807819689908,0.011417697431018059,0.0011359454443444772,-0.16231628168180678,-0.01755554129657322,True
159929.SZ,汇添富中证医药卫生ETF,中证医药卫生指数×100%,被动指数型,股票型,20130916.0,,L,E,中证医药卫生指数,000933.SH,1.448,1.362,-0.606622998544396,94101.5776,000933.SH,9405.4391,8109.6753,-0.6219189126883206,-0.05939226519337004,-0.006104201818107113,-0.137767496681787,-0.014713711607745372,True
