ts_code,name,benchmark,invest_type,fund_type,list_date,delist_date,status,market,matched_index_name,index_ts_code,p0,p1,etf_max_drawdown,median_amount_60d,ts_code_index,index_p0,index_p1,index_max_drawdown,etf_total_return,etf_cagr,index_price_return,index_cagr,liquid_10m
512810.SH,华宝中证军工ETF,中证军工指数×100%,被动指数型,股票型,20160822.0,,L,E,中证军工指数,399967.SZ,0.967,1.2869052,-0.492638036809816,38016.815,399967.SZ,11155.699,11201.9267,-0.5074300778022085,0.3308223371251293,0.028992023350208562,0.004143864046529,0.00041361570413345206,True
510810.SH,汇添富中证上海国企ETF,中证上海国企指数×100%,被动指数型,股票型,20160829.0,,L,E,中证上海国企指数,950096.CSI,1.014,0.9242049999999999,-0.36139169083998524,6039.3665,950096.CSI,1712.3486,1316.8299,-0.4246572479642622,-0.08855522682445771,-0.009229571171273876,-0.23098024549440466,-0.025921966602545088,False
512660.SH,国泰中证军工ETF,中证军工指数×100%,被动指数型,股票型,20160808.0,,L,E,中证军工指数,399967.SZ,1.001,1.107,-0.5094850948509485,320637.6015,399967.SZ,11155.699,11201.9267,-0.5074300778022085,0.10589410589410608,0.010116242019733601,0.004143864046529,0.00041361570413345206,True
512880.SH,国泰中证全指证券公司ETF,中证全指证券公司指数×100%,被动指数型,股票型,20160808.0,,L,E,中证全指证券公司指数,399975.SZ,1.051,1.063,-0.45446584938704027,2427166.8725,399975.SZ,882.8529,739.5515,-0.5052807819689908,0.011417697431018059,0.0011359454443444772,-0.16231628168180678,-0.01755554129657322,True
159949.SZ,华安创业板50ETF,创业板50指数×100%,被动指数型,股票型,20160722.0,,L,E,创业板50指数,399673.SZ,0.943,1.676,-0.5899053627760252,2408944.46465,399673.SZ,2024.263,3728.4769,-0.5947779509460072,0.7773064687168612,0.059195756472253835,0.8418935187769574,0.06298332539917428,True
159948.SZ,南方创业板ETF,创业板指数×100%,被动指数型,股票型,20160531.0,,L,E,创业板指数,399006.SZ,2.183,3.934,-0.5598731165741475,128678.8529,399006.SZ,2170.857,3545.5775,-0.5704597874670019,0.8021071919377005,0.0606645697227004,0.6332616565715752,0.05028116359380297,True
510580.SH,易方达中证500ETF,中证小盘500指数×100%,被动指数型,股票型,20150914.0,,L,E,中证小盘500指数,000905.SH,6.599,10.281672499999999,-0.4361933206625034,225194.83299999998,000905.SH,6356.9538,7854.3336,-0.4180801038538581,0.5580652371571448,0.045342394399754626,0.2355498949827195,0.02137689392204667,True
510360.SH,广发沪深300ETF,沪深300指数×100%,被动指数型,股票型,20150909.0,,L,E,沪深300指数,000300.SH,1.019,1.791,-0.4099030117406841,69826.71049999999,000300.SH,3314.1142,4618.8952,-0.4560262048486471,0.7576054955839058,0.058015767965155396,0.3937042966111428,0.0337536688330049,True
512330.SH,南方中证500信息技术指数ETF,中证500信息技术指数×100%,被动指数型,股票型,20150720.0,,L,E,中证500信息技术指数,H30257.CSI,0.865,1.876,-0.559593023255814,16084.384999999998,H30257.CSI,7674.0766,13344.0016,-0.5903984347217343,1.16878612716763,0.08049229098266553,0.7388413349952747,0.05688076899772154,True
159944.SZ,广发中证全指原材料ETF,中证全指原材料指数×100%,被动指数型,股票型,20150706.0,,L,E,中证全指原材料指数,000987.SH,0.817,1.527,-0.5170199100834939,7724.78385,000987.SH,3237.5738,5044.1331,-0.5251505945616661,0.8690330477356181,0.06453929747145604,0.5579978748283667,0.0453378748156954,False
