ts_code,indx_name,indx_csname,pub_party_name,api,p0,p1,price_return,cagr
931790.CSI,中证韩交所中韩半导体指数,中韩半导体,中证指数有限公司,index_daily,1354.0326,10195.3789,6.529640645284315,0.22370694543600766
H30007.CSI,中证芯片产业指数,芯片产业,中证指数有限公司、上海证券交易所,index_daily,886.1425,4310.8854,3.864776714806027,0.17140289003620146
980080.CNI,国证成长100指数,成长100,深圳证券信息有限公司,index_daily,2606.1629,12553.7813,3.8169595615070726,0.1702463629480555
980017.SZ,国证半导体芯片指数,国证芯片,深圳证券信息有限公司,index_daily,3662.7875,17056.7251,3.656760759394314,0.1662949433160006
932066.CSI,中证半导体行业精选指数,半导体行业精选,中证指数有限公司,index_daily,1457.4302,5717.2263,2.922813113108264,0.14646225717230044
H30184.CSI,中证全指半导体产品与设备指数,半导体,中证指数有限公司,index_daily,3370.2142,13157.8802,2.9041673374944534,0.14591615572452854
931696.CSI,中证科技优势成长50策略指数,科技50策略,中证指数有限公司,index_daily,6790.8726,25947.8056,2.8209825347040085,0.14345085946094405
980092.SZ,国证自由现金流指数,自由现金流,深圳证券信息有限公司,index_daily,1454.1819,5127.3093,2.525906422023269,0.13429776978464303
931160.CSI,中证全指通信设备指数,通信设备,中证指数有限公司,index_daily,6100.3987,20436.6327,2.3500486943582883,0.12850922085387406
931406.CSI,中证5G产业50指数,5G50,中证指数有限公司,index_daily,859.8392,2812.1937,2.270604201343693,0.12580403019292286
932368.CSI,中证800自由现金流指数,800现金流,中证指数有限公司,index_daily,1502.5459,4845.0482,2.22455919649443,0.12420894212357414
930758.CSI,中证浙江凤凰行动50指数,凤凰50,中证指数有限公司,index_daily,2765.2775,8893.478,2.2161249639502723,0.123914544718984
931187.CSI,中证科技100指数,科技100,中证指数有限公司,index_daily,1676.8287,5012.2155,1.9891040748527264,0.11571713681656948
399285.SZ,深证物联网50指数,物联网50,深圳证券信息有限公司、深圳证券交易所,index_daily,2549.9466,7614.2841,1.9860562962377326,0.11560332277742269
932365.CSI,中证全指自由现金流指数,中证现金流,中证指数有限公司,index_daily,1651.9562,4900.2711,1.9663444466626898,0.11486468284334261
931079.CSI,中证5G通信主题指数,5G通信,中证指数有限公司、上海证券交易所,index_daily,911.985,2666.8542,1.924230332735736,0.11327167070800948
931238.CSI,中证沪深港黄金产业股票指数,SSH黄金股票,中证指数有限公司,index_daily,1277.1277,3575.9617,1.8000032416492102,0.10844935092890307
931469.CSI,中证云计算50指数,云计算50,中证指数有限公司,index_daily,1457.7217,4000.8803,1.7446118830501045,0.10623678050818541
931892.CSI,中证有色金属矿业主题指数,有色矿业,中证指数有限公司,index_daily,1500.7244,4062.8974,1.7072908256839163,0.10472324209213868
980081.CNI,国证价值100指数,价值100,深圳证券信息有限公司,index_daily,1670.2597,4492.2654,1.689561030539143,0.10399762817726099
000936.CSI,中证通信服务指数,800通信,中证指数有限公司,index_daily,4716.2106,12611.242,1.674020112672661,0.10335804750564548
399088.SZ,深证创新100指数,深创100,深圳证券信息有限公司,index_daily,2068.8279,5373.22,1.5972290880261233,0.10014777768967176
931494.CSI,中证消费电子主题指数,消费电子,中证指数有限公司,index_daily,2441.3373,6239.7694,1.5558817292473268,0.09838368986042956
932315.CSI,中证全指红利质量指数,中证红利质量,中证指数有限公司,index_daily,1692.2481,4324.6651,1.5555739137777729,0.0983704608517395
931087.CSI,中证科技龙头指数,科技龙头,中证指数有限公司,index_daily,2664.6262,6764.772,1.538732074314964,0.09764445294956392
931470.CSI,中证沪港深云计算产业指数,SHS云计算,中证指数有限公司、上海证券交易所,index_daily,1527.951,3872.4563,1.5344113129282286,0.0974574975790139
931380.CSI,中证科技50指数,科技50,中证指数有限公司,index_daily,1593.0584,3958.477,1.4848285536801415,0.09529131224738885
399296.SZ,创业板动量成长指数,创成长,深圳证券信息有限公司、深圳证券交易所,index_daily,3205.7694,7937.4372,1.4759850786522573,0.09490087366915811
932366.CSI,沪深300自由现金流指数,300现金流,中证指数有限公司,index_daily,1348.248,3328.6623,1.468879835163857,0.0945862675045126
399389.SZ,国证通信指数,国证通信,深圳证券信息有限公司,index_daily,4328.706,10524.0466,1.4312223098542614,0.09290513686631607
931468.CSI,中证红利质量指数,红利质量,中证指数有限公司、上海证券交易所,index_daily,13974.5128,33771.3554,1.4166391976112398,0.09224780732497284
931495.CSI,中证工业互联网主题指数,工业互联,中证指数有限公司,index_daily,1536.8557,3666.9901,1.386034095458669,0.09085660236919901
931575.CSI,中证沪港深物联网主题指数,SHS物联网,中证指数有限公司,index_daily,2364.0638,5615.2171,1.3752392384672527,0.09036207113906047
931733.CSI,中证绿色能源指数,绿色能源,中证指数有限公司,index_daily,1985.6818,4682.8569,1.3583118402958618,0.08958250955790659
000066.SH,上证大宗商品股票指数,上证商品,中证指数有限公司、上海证券交易所,index_daily,1672.4287,3896.4272,1.3298016830254111,0.08825806775725153
931461.CSI,中证电子50指数,电子50,中证指数有限公司,index_daily,3242.4812,7541.4782,1.3258355977514995,0.08807266853409601
000811.CSI,中证细分有色金属产业主题指数,细分有色,中证指数有限公司,index_daily,4907.7841,11307.6737,1.3040283495763392,0.08704815145662503
399610.SZ,深证电子信息传媒产业50指数,TMT50,深圳证券信息有限公司、深圳证券交易所,index_daily,5184.71,11885.6349,1.2924396735786572,0.08650015243282771
930632.CSI,中证稀有金属主题指数,CS稀金属,中证指数有限公司,index_daily,1224.6208,2790.9512,1.2790329871908104,0.08586306506077857
000068.SH,上证自然资源指数,上证资源,中证指数有限公司、上海证券交易所,index_daily,1907.6529,4325.8797,1.2676450731681852,0.08531925508682359
