year,return,nav
2000,1.002,2.002
2001,-0.181,1.639638
2002,-0.192,1.324747
2003,-0.206,1.051899
2004,-0.119,0.926222
2005,-0.107,0.827116
2006,0.795,1.484685
2007,2.426,5.085727
2008,-0.463,2.731835
2009,1.975,8.127704
2010,0.317,10.704488
2011,-0.236,8.177226
2012,0.143,9.346568
2013,0.506,14.075937
2014,0.784,25.111873
2015,2.29,82.618741
2016,0.2418,102.594945
2017,-0.213,80.738204
2018,-0.135,69.837346
2019,0.442,100.713437
2020,0.176,118.440764
2021,0.399,165.794384
2022,0.155,191.493397
2023,0.499,287.137699
2024,0.1,315.851469
2025,0.8165,573.93128
