date,nav,source
2000-12-29,2.002,公开资料参考口径
2001-12-31,1.639638,公开资料参考口径
2002-12-31,1.324747,公开资料参考口径
2003-12-31,1.051899,公开资料参考口径
2004-12-31,0.926222,公开资料参考口径
2005-12-30,0.827116,公开资料参考口径
2006-12-29,1.484685,公开资料参考口径
2007-12-31,5.085727,公开资料参考口径
2008-12-31,2.731835,公开资料参考口径
2009-12-31,8.127704,公开资料参考口径
2010-12-31,10.704488,公开资料参考口径
2011-12-30,8.177226,公开资料参考口径
2012-12-31,9.346568,公开资料参考口径
2013-12-31,14.075937,公开资料参考口径
2014-12-31,25.111873,公开资料参考口径
2015-12-31,82.618741,公开资料参考口径
2016-12-30,102.594945,公开资料参考口径
2017-12-29,80.738204,公开资料参考口径
2018-12-31,69.837346,公开资料参考口径
2019-12-31,100.713437,公开资料参考口径
2020-12-31,118.440764,公开资料参考口径
2021-12-31,165.794384,公开资料参考口径
2022-12-30,191.493397,公开资料参考口径
2023-12-29,287.137699,公开资料参考口径
2024-12-31,315.851469,公开资料参考口径
2025-12-31,573.93128,公开资料参考口径
