start_date,end_date,peak_date,trading_days,max_drawdown
20150106,20150107,20150105,1,-0.0014277241
20150108,20150115,20150107,5,-0.02581334
20150116,20150119,20150115,1,-0.0174282866
20150122,20150123,20150121,1,-0.0080165983
20150128,20150202,20150127,3,-0.0106026129
20150204,20150211,20150203,5,-0.0304363797
20150302,20150303,20150227,1,-0.0010464067
20150305,20150306,20150304,1,-0.0063740085
20150311,20150312,20150310,1,-0.005225967
20150325,20150326,20150324,1,-0.0013805923
20150407,20150409,20150403,2,-0.0173186378
20150414,20150421,20150413,5,-0.0485920162
20150427,20150428,20150424,1,-0.0247760132
20150504,20150507,20150430,3,-0.0460880354
20150527,20150529,20150526,2,-0.0428611373
20150605,20150608,20150604,1,-0.0016405099
20150612,20151119,20150611,106,-0.5127186139
20151120,20151123,20151119,1,-0.0025668954
20151126,20151204,20151125,6,-0.0673936493
20151207,20151214,20151204,5,-0.029226691
20151222,20151223,20151221,1,-0.0058664009
20151225,20151229,20151224,2,-0.0226556259
20151230,20160503,20151229,81,-0.3311393695
20160505,20160616,20160504,28,-0.1341866182
20160620,20160621,20160617,1,-0.0119371805
20160622,20160624,20160621,2,-0.0115434841
20160708,20160711,20160707,1,-0.0048980118
20160714,20160718,20160713,2,-0.0041948238
20160721,20160725,20160720,2,-0.0084906639
20160726,20160812,20160725,13,-0.0690870372
20160819,20160822,20160818,1,-0.006576594
20160824,20160825,20160823,1,-0.0031596534
20160831,20160901,20160830,1,-0.0002850322
20160908,20160914,20160907,4,-0.0355378333
20160923,20160929,20160922,4,-0.0224541313
20161014,20161017,20161013,1,-0.0083768711
20161020,20161021,20161019,1,-0.0022478543
20161027,20161031,20161026,2,-0.010349432
20161108,20161109,20161107,1,-0.0025377262
20161122,20161206,20161121,10,-0.0252141248
20161207,20161219,20161206,8,-0.0596528585
20161222,20161223,20161221,1,-0.0107964464
20170105,20170106,20170104,1,-0.0058576851
20170110,20170203,20170109,13,-0.08257763
20170216,20170217,20170215,1,-0.0054350615
20170224,20170227,20170223,1,-0.0010342606
20170301,20170302,20170228,1,-0.0033517678
20170307,20170310,20170306,3,-0.0054788078
20170316,20170317,20170315,1,-0.0033572096
20170321,20170322,20170320,1,-0.0018344006
